 3  0  3 IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
11  8  3 BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGK.HH C98 B98 I99 H99 J98 E98 K99 G5 
11  8  3 BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH H99 C99 B98 I98 J98 E98 K99 G5 
11  8  3 .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH B99 H99 I99 D99 J98 E98 K99 G5 
11  8  3 BBCCL.IJDDL.IJAAL.IJEE....KFF.GGKHH. L99 C98 B98 I99 J99 E98 K99 G5 
11  8  3 IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGK.HH H99 C99 B99 D99 J98 E98 K99 G5 
11  8  3 BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGKHH. D98 C98 B98 I98 J98 E98 K99 G5 
11  8  3 .BBCC..DD.L.IJAAL.IJEEL.IJKFF.GGKHH. I98 C99 B99 D99 J98 E98 K99 G5 
11  8  3 BBCCL...DDL.IJAAL.IJEE..IJKFF.GGKHH. L99 C98 B98 I98 J98 E98 K99 G5 
11  8  3 BBCC..IJDDL.IJAAL.IJEEL...KFF.GGK.HH C98 B98 J99 I99 H99 E98 K99 G5 
11  8  3 BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH. D98 C99 B98 I98 J98 E98 K99 G5 
11  8  3 .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH I98 B99 H99 D99 J98 E98 K99 G5 
11  8  3 .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH. I99 C99 B99 D99 J98 E98 K99 G5 
11  8  3 BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGKHH. D99 C99 B98 I98 J98 E98 K99 G5 
11  8  3 BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH C99 B98 J99 I99 H99 E98 K99 G5 
11  8  3 BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH C99 B98 I98 J99 H99 E98 K99 G5 
11  8  3 BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH H99 C99 B98 J98 I99 E98 K99 G5 
11  8  3 BBCC....DDL.IJAAL.IJEEL.IJKFF.GGK.HH H99 C98 B98 I98 J98 E98 K99 G5 
11  8  3 .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH I98 H99 C99 B99 J98 E98 K99 G5 
11  8  3 BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGKHH. D99 C98 B98 I98 J98 E98 K99 G5 
11  8  3 BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGKHH. L99 C98 B98 J99 I98 E98 K99 G5 
11  8  3 .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH D98 I98 B99 H99 J98 E98 K99 G5 
11  8  3 BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH D99 B98 I99 H99 J98 E98 K99 G5 
11  8  3 BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGKHH. L99 C98 B98 J98 I99 E98 K99 G5 
12  9  3 BBCCL..DD.L.IJAAL.IJEE..IJKFF.GGKHH. D99 L99 C98 B98 I98 J98 E98 K99 G5 
12  9  3 .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH H99 C99 B99 D98 I98 J98 E98 K99 G5 
12  9  3 BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGK.HH C98 H99 B98 D99 I98 J98 E98 K99 G5 
12  9  3 BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH H99 C99 B98 I99 D99 J98 E98 K99 G5 
12  9  3 BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGK.HH L99 C98 B98 I98 J99 H99 E98 K99 G5 
12  9  3 BBCCL.IDD.L.IJAAL.IJEE...JKFF.GGKHH. L99 C98 B98 I99 D99 J98 E98 K99 G5 
12  9  3 BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGK.HH L99 C98 B98 I99 H99 J98 E98 K99 G5 
12  9  3 BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH D98 H99 C99 B98 I98 J98 E98 K99 G5 
12  9  3 .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH I99 H99 C99 B99 D99 J98 E98 K99 G5 
12  9  3 BBCCL.DD..L.IJAAL.IJEE..IJKFF.GGKHH. L99 D98 C98 B98 I98 J98 E98 K99 G5 
12  9  3 BBCCL.IJDDL.IJAAL.IJEE....KFF.GGK.HH H99 L99 C98 B98 I99 J99 E98 K99 G5 
12  9  3 BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGK.HH D99 C98 B98 I99 H99 J98 E98 K99 G5 
12  9  3 .BBCC..DD.L.IJAAL.IJEEL.IJKFF.GGK.HH I98 H99 C99 B99 D99 J98 E98 K99 G5 
12  9  3 BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGK.HH H99 D98 C98 B98 I98 J98 E98 K99 G5 
12  9  3 BBCCL...DDL.IJAAL.IJEE..IJKFF.GGK.HH L99 H99 C98 B98 I98 J98 E98 K99 G5 
12  9  3 BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGK.HH C99 H99 B98 D99 I98 J98 E98 K99 G5 
13  9  4 BBCCL.IJDDL.IJAAL.IJ..EE..KFF.GGKHH. E96 L99 C98 B98 I99 J99 K99 G5 
13  9  4 BBCCL...DDL.IJAAL.IJ..EEIJKFF.GGKHH. E96 L99 C98 B98 I98 J98 K99 G5 
13  9  4 BBCCL...DDL.IJAAL.IJ.EE.IJKFF.GGKHH. E97 L99 C98 B98 I98 J98 K99 G5 
13  9  4 BBCCL.IJDDL.IJAAL.IJ.EE...KFF.GGKHH. E97 L99 C98 B98 I99 J99 K99 G5 
13 10  3 BBCCL.IDD.L.IJAAL.IJEE...JKFF.GGK.HH L99 D99 C98 B98 I99 H99 J98 E98 K99 G5 
13 10  3 BBCCL.DD..L.IJAAL.IJEE..IJKFF.GGK.HH D98 L99 H99 C98 B98 I98 J98 E98 K99 G5 
13  9  4 BBCCL.I.DDL.IJAAL.IJ.EE..JKFF.GGKHH. E97 L99 C98 B98 J98 I99 K99 G5 
13  9  4 BBCCL..JDDL.IJAAL.IJ.EE.I.KFF.GGKHH. E97 L99 C98 B98 J99 I98 K99 G5 
13  9  4 BBCCL.I.DDL.IJAAL.IJ..EE.JKFF.GGKHH. E96 L99 C98 B98 J98 I99 K99 G5 
13 10  3 BBCCL..DD.L.IJAAL.IJEE..IJKFF.GGK.HH D99 L99 H99 C98 B98 I98 J98 E98 K99 G5 
13  9  4 BBCCL..JDDL.IJAAL.IJ..EEI.KFF.GGKHH. E96 L99 C98 B98 J99 I98 K99 G5 
14 10  4 BBCCL...DDL.IJAAL.IJKEE.IJKFF.GG.HH. K98 E97 L99 C98 B98 I98 J98 G5 
14 10  4 BBCCL..DD.L.IJAAL.IJ..EEIJKFF.GGKHH. E96 D99 L99 C98 B98 I98 J98 K99 G5 
14 10  4 BBCCL...DDL.IJAAL.IJ.EE.IJKFF.GGK.HH H99 E97 L99 C98 B98 I98 J98 K99 G5 
14 10  4 BBCCL.IJDDL.IJAAL.IJK.EE..KFF.GG.HH. K98 E96 L99 C98 B98 I99 J99 G5 
14 10  4 BBCCL..JDDL.IJAAL.IJ..EEI.KFF.GGK.HH E96 L99 C98 B98 I98 J99 H99 K99 G5 
14 10  4 BBCCL.DD..L.IJAAL.IJ..EEIJKFF.GGKHH. E96 L99 D98 C98 B98 I98 J98 K99 G5 
14 10  4 BBCCL.IDD.L.IJAAL.IJ.EE..JKFF.GGKHH. D99 E97 L99 C98 B98 J98 I99 K99 G5 
14 10  4 BBCCL...DDL.IJAAL.IJK.EEIJKFF.GG.HH. K98 E96 L99 C98 B98 I98 J98 G5 
